Source,Target,Type,Weight,Relationship
51,31,directed,1,[r:RETWEETS]
15,113,directed,1,[m:MENTIONS]
167,195,directed,1,[m:MENTIONS]
167,195,directed,1,[r:RETWEETS]
196,197,directed,1,[m:MENTIONS]
196,197,directed,1,[r:RETWEETS]
198,4,directed,1,[m:MENTIONS]
198,4,directed,1,[q:QUOTES]
198,4,directed,1,[r:RETWEETS]
199,18,directed,1,[m:MENTIONS]
199,18,directed,1,[r:RETWEETS]
200,201,directed,1,[m:MENTIONS]
202,6,directed,1,[m:MENTIONS]
202,6,directed,1,[r:RETWEETS]
203,164,directed,1,[m:MENTIONS]
204,184,directed,1,[m:MENTIONS]
200,205,directed,1,[m:MENTIONS]
200,196,directed,1,[m:MENTIONS]
123,200,directed,1,[m:MENTIONS]
123,200,directed,1,[r:RETWEETS]
206,29,directed,1,[m:MENTIONS]
206,29,directed,1,[r:RETWEETS]
207,6,directed,1,[m:MENTIONS]
207,208,directed,1,[m:MENTIONS]
207,160,directed,1,[m:MENTIONS]
209,210,directed,1,[m:MENTIONS]
209,6,directed,1,[q:QUOTES]
209,210,directed,1,[r:RETWEETS]
210,6,directed,1,[q:QUOTES]
211,212,directed,1,[m:MENTIONS]
211,212,directed,1,[r:RETWEETS]
212,6,directed,1,[m:MENTIONS]
213,214,directed,1,[q:QUOTES]
214,156,directed,1,[m:MENTIONS]
215,4,directed,1,[m:MENTIONS]
215,4,directed,1,[r:RETWEETS]
216,136,directed,1,[m:MENTIONS]
216,137,directed,1,[m:MENTIONS]
216,6,directed,1,[m:MENTIONS]
216,136,directed,1,[r:RETWEETS]
15,217,directed,1,[m:MENTIONS]
219,12,directed,1,[m:MENTIONS]
219,12,directed,1,[r:RETWEETS]
220,8,directed,1,[m:MENTIONS]
220,221,directed,1,[m:MENTIONS]
220,8,directed,1,[r:RETWEETS]
8,221,directed,1,[m:MENTIONS]
222,160,directed,1,[m:MENTIONS]
222,32,directed,1,[m:MENTIONS]
43,13,directed,1,[m:MENTIONS]
43,181,directed,1,[m:MENTIONS]
43,13,directed,1,[r:RETWEETS]
215,4,directed,1,[q:QUOTES]
200,223,directed,1,[m:MENTIONS]
13,224,directed,1,[m:MENTIONS]
13,54,directed,1,[q:QUOTES]
13,224,directed,1,[r:RETWEETS]
224,54,directed,1,[q:QUOTES]
123,117,directed,1,[m:MENTIONS]
123,117,directed,1,[r:RETWEETS]
225,18,directed,1,[m:MENTIONS]
225,18,directed,1,[r:RETWEETS]
200,226,directed,1,[m:MENTIONS]
227,6,directed,1,[m:MENTIONS]
227,6,directed,1,[r:RETWEETS]
15,45,directed,1,[m:MENTIONS]
228,129,directed,1,[m:MENTIONS]
228,129,directed,1,[r:RETWEETS]
111,20,directed,1,[m:MENTIONS]
111,20,directed,1,[r:RETWEETS]
229,12,directed,1,[m:MENTIONS]
229,12,directed,1,[r:RETWEETS]
230,137,directed,1,[m:MENTIONS]
230,6,directed,1,[m:MENTIONS]
230,137,directed,1,[q:QUOTES]
230,137,directed,1,[r:RETWEETS]
137,6,directed,1,[m:MENTIONS]
231,6,directed,1,[m:MENTIONS]
230,136,directed,1,[m:MENTIONS]
230,136,directed,1,[r:RETWEETS]
232,60,directed,1,[q:QUOTES]
233,200,directed,1,[m:MENTIONS]
233,200,directed,1,[r:RETWEETS]
234,156,directed,1,[m:MENTIONS]
234,235,directed,1,[q:QUOTES]
234,156,directed,1,[r:RETWEETS]
156,235,directed,1,[q:QUOTES]
200,236,directed,1,[m:MENTIONS]
15,126,directed,1,[m:MENTIONS]
237,6,directed,1,[m:MENTIONS]
200,238,directed,1,[m:MENTIONS]
200,239,directed,1,[m:MENTIONS]
240,241,directed,1,[m:MENTIONS]
240,241,directed,1,[r:RETWEETS]
191,160,directed,1,[m:MENTIONS]
191,32,directed,1,[m:MENTIONS]
242,56,directed,1,[m:MENTIONS]
242,243,directed,1,[m:MENTIONS]
242,22,directed,1,[m:MENTIONS]
242,56,directed,1,[r:RETWEETS]
56,243,directed,1,[m:MENTIONS]
56,22,directed,1,[m:MENTIONS]
244,20,directed,1,[m:MENTIONS]
244,20,directed,1,[r:RETWEETS]
245,72,directed,1,[m:MENTIONS]
245,72,directed,1,[r:RETWEETS]
246,137,directed,1,[m:MENTIONS]
246,6,directed,1,[m:MENTIONS]
246,137,directed,1,[q:QUOTES]
246,137,directed,1,[r:RETWEETS]
247,72,directed,1,[m:MENTIONS]
247,72,directed,1,[r:RETWEETS]
15,141,directed,1,[m:MENTIONS]
200,56,directed,1,[m:MENTIONS]
200,56,directed,1,[r:RETWEETS]
191,248,directed,1,[m:MENTIONS]
249,72,directed,1,[m:MENTIONS]
